"Date","Country/Location","Rating","Author","Title","Body","Image links","Image Video Links","Verified Purchase","URL","Helpful count","Variation information","Styles"
"03/25/2023","United States 🇺🇸 ","5","Wendy Denise Strout-Dishaw","Awesome Game","Thank You! This Game Is Really Fun!","","","true","https://www.amazon.com/gp/customer-reviews/R22T23JLUTGOZF/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01N1037CV","0","B01N1037CV","Platform For Display: Nintendo Switch | Edition: Standard"
"03/24/2023","United States 🇺🇸 ","5","Anónimo","Perfecta para ocasiones sociales","La cinta es divertida. Puedo jugar con amigos y familiares.","","","true","https://www.amazon.com/gp/customer-reviews/R24YP2MDV043US/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01N1037CV","0","B01N1037CV","Platform For Display: Nintendo Switch | Edition: Standard"
"03/20/2023","United States 🇺🇸 ","5","Alejandro Segura","Excelente juego","Nos divertimos mucho jugándolo","","","true","https://www.amazon.com/gp/customer-reviews/R3624J5ZPYFQ3F/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01N1037CV","2","B01N1037CV","Platform For Display: Nintendo Switch | Edition: Standard"
"03/20/2023","United States 🇺🇸 ","4","David","Made my teen very happy","The game went over very well and can network with the full size Switch for game play.  What I was less excited about was having to secure a separate process to actually network the system so my two children can play from the different devices.","","","true","https://www.amazon.com/gp/customer-reviews/R30S3TO1T5ODOT/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01N1037CV","6","B01N1037CV","Platform For Display: Nintendo Switch | Edition: Standard"
"03/19/2023","United States 🇺🇸 ","5","Alana Ash","Obsessed!","This game is so fun! I love playing alone to complete all courses. It's also fun to play against friends and family.","","","true","https://www.amazon.com/gp/customer-reviews/RH9PRY2847AEW/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01N1037CV","0","B01N1037CV","Platform For Display: Nintendo Switch | Edition: Standard"
"03/16/2023","United States 🇺🇸 ","4","Brooke","Good game","Game is fun to play. BUT, if you want to play online with other people you need to pay for the membership pass..","","","true","https://www.amazon.com/gp/customer-reviews/RLKUJ15700YKP/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01N1037CV","1","B01N1037CV","Platform For Display: Nintendo Switch | Edition: Standard"
"03/10/2023","United States 🇺🇸 ","5","kyle benfield","Awesome! Fun! Engaging!","A game that brought back so many childhood memories. Nowadays I don't have much time to enjoy and play games like when I was a kid but since I have gotten this game I have had a blast playing it with my little brother. Also the story mode was a blast","","","true","https://www.amazon.com/gp/customer-reviews/R2XXVQP9HV1OBK/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01N1037CV","8","B01N1037CV","Platform For Display: Nintendo Switch | Edition: Standard"
"03/06/2023","United States 🇺🇸 ","5","C.d.q","Very fun to play","Had this game on my old Wii several years ago, was a lot of fun to play with your family. This switch version is as fun maybe better, graphics wise denitely better, game play is very good. My little ones enjoyed it a lot","","","true","https://www.amazon.com/gp/customer-reviews/RP10FSWK5FDI3/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01N1037CV","12","B01N1037CV","Platform For Display: Nintendo Switch | Edition: Standard"
"03/05/2023","United States 🇺🇸 ","5","Miriah Landrum","So fun!","Everyone knows Mario! Get the game! You won’t regret it! I bought it as a gift for my child, but also for me to play. It is so much fun.","","","true","https://www.amazon.com/gp/customer-reviews/R313NXXCWBPDOC/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01N1037CV","0","B01N1037CV","Platform For Display: Nintendo Switch | Edition: Standard"
"03/01/2023","United States 🇺🇸 ","5","Jaela","i recommend!","no complaints, came to me brand new and sealed with no damages. i’ve played Mario Kart 7 on the 3ds and had to get this for the switch. if you’re a big Mario kart fan i recommend!","","","true","https://www.amazon.com/gp/customer-reviews/R2716VMB35SIZJ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01N1037CV","14","B01N1037CV","Platform For Display: Nintendo Switch | Edition: Standard"
"02/28/2023","United States 🇺🇸 ","5","Jose M. Calvo Montero","Excelente","Excelente","","","true","https://www.amazon.com/gp/customer-reviews/R1E8EPZY9JTLLS/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01N1037CV","2","B01N1037CV","Platform For Display: Nintendo Switch | Edition: Standard"
"02/27/2023","United States 🇺🇸 ","5","Elias C.","Muy buen producto","Excelente producto, de acuerdo a la descripción","","","true","https://www.amazon.com/gp/customer-reviews/R23OZVOHYEV2L4/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01N1037CV","8","B01N1037CV","Platform For Display: Nintendo Switch | Edition: Standard"
"02/26/2023","United States 🇺🇸 ","5","Gromit4 ","Fun game","Fun game to play. Kinda pricey though.","","","true","https://www.amazon.com/gp/customer-reviews/RQ2DS0CFA8TR8/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01N1037CV","0","B01N1037CV","Platform For Display: Nintendo Switch | Edition: Standard"
"02/24/2023","United States 🇺🇸 ","5","Amazon Customer","Bought as a gift","Daughter was happy with it.","","","true","https://www.amazon.com/gp/customer-reviews/R1Y9GA6ZGRZDDG/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01N1037CV","4","B01N1037CV","Platform For Display: Nintendo Switch | Edition: Standard"
"02/20/2023","United States 🇺🇸 ","5","lindad","given as gift","no complaints","","","true","https://www.amazon.com/gp/customer-reviews/R39IZZAY7PDY63/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01N1037CV","0","B01N1037CV","Platform For Display: Nintendo Switch | Edition: Standard"
"02/17/2023","United States 🇺🇸 ","5","Evel Lopez","Todo en orden,","The media could not be loaded.
                
            
                
            
        
    
    








  
     Todo funciona de la mejor Manera","","","true","https://www.amazon.com/gp/customer-reviews/R2OVZBW3I6BYRM/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01N1037CV","0","B01N1037CV","Platform For Display: Nintendo Switch | Edition: Standard"
"02/13/2023","United States 🇺🇸 ","5","Jess Tierney","It's the real game.","It's the game. It plays good and it's better then the other Mario carts.","","","true","https://www.amazon.com/gp/customer-reviews/R6GY9E4YWWTR6/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01N1037CV","1","B01N1037CV","Platform For Display: Nintendo Switch | Edition: Standard"
